customer_id,is_corrupted,error_types
C00001,0,
C00002,0,
C00003,0,
C00004,0,
C00005,1,outlier
C00006,0,
C00007,0,
C00008,0,
C00009,0,
C00010,0,
C00011,0,
C00012,0,
C00013,0,
C00014,0,
C00015,0,
C00016,1,missing|wrong_type
C00017,1,format|missing|wrong_type
C00825,1,duplicate
C00019,0,
C00020,0,
C00021,0,
C00022,0,
C00023,0,
C00024,0,
C00025,0,
C01961,1,duplicate
C00027,0,
C00028,0,
C00029,0,
C00030,1,duplicate
C00031,1,inconsistent
C00032,0,
C00033,0,
C00034,0,
C00035,1,inconsistent|outlier|semantic
C00036,0,
C00037,0,
C00038,0,
C00039,0,
C00040,0,
C00041,0,
C00042,0,
C00043,1,missing|outlier
C00044,0,
C00045,0,
C00046,0,
C00047,0,
C00048,0,
C00049,0,
C00050,0,
C00051,1,missing
C00052,0,
C00053,0,
C00054,0,
C-001,1,format|invalid
C00056,0,
C00057,0,
C00058,0,
C00059,0,
C00060,0,
C00061,0,
C00062,1,inconsistent|wrong_type
C00063,1,invalid|missing
C00064,0,
C00065,0,
C00066,0,
C00067,0,
C00068,1,invalid|wrong_type
C00069,1,missing
C00070,0,
C00071,0,
C00072,0,
C00073,0,
C00074,1,invalid
C00075,0,
C00076,0,
C00077,0,
C00078,0,
C00079,1,invalid
C00080,0,
C00081,1,duplicate
C00082,0,
C00083,0,
C00084,0,
CUST_999,1,format
C00086,0,
C00087,0,
C00088,1,format
C00089,1,duplicate
C00090,1,duplicate|outlier
C00091,0,
C00092,0,
C00093,0,
C00094,0,
C00095,1,wrong_type
C00096,0,
C00097,0,
C00098,0,
C00099,0,
C00100,1,format|invalid|missing
C00101,0,
C00102,1,invalid|wrong_type
C00103,0,
C00104,0,
C00105,1,outlier|semantic|wrong_type
C00106,0,
C00107,0,
C00108,0,
C00109,0,
C00110,1,inconsistent|outlier|wrong_type
C00111,1,inconsistent
C00112,0,
C00113,0,
C00114,0,
C00115,1,format|missing
C00116,0,
C00117,0,
C00118,0,
C00119,0,
C00120,0,
C00121,0,
C00122,0,
C00123,1,duplicate
C00124,0,
C00125,0,
C00126,0,
C00127,1,invalid
C-001,1,format|invalid|wrong_type
C00129,1,outlier
C00130,0,
C00131,0,
C00132,0,
C00133,0,
C00134,0,
C00135,0,
C00136,0,
C00137,0,
C00138,0,
C00139,0,
C00140,0,
C00141,1,inconsistent|missing
C00142,0,
C00143,0,
C00144,0,
C00145,0,
C00146,0,
C00147,0,
C00148,0,
C00149,0,
C00150,0,
C00151,0,
C00152,0,
C00153,0,
C00154,0,
C00155,0,
C00156,0,
C00157,0,
C00158,0,
C00159,0,
C00160,1,invalid|missing
C00161,1,inconsistent
C00162,0,
C00163,1,outlier
C00164,0,
C00165,0,
C00166,0,
C00167,0,
C00168,0,
C00169,0,
C00170,0,
C00171,0,
C00172,0,
C00173,0,
C00174,1,wrong_type
C00175,0,
C00176,0,
C00177,0,
C00178,0,
C00179,0,
C00180,0,
C00181,1,outlier
C00182,1,inconsistent
C00183,0,
C00184,0,
C00185,0,
C00186,0,
C00187,0,
C00188,1,outlier
C00189,1,outlier
C00190,1,inconsistent
C00191,1,outlier|semantic
C00192,1,invalid|semantic|wrong_type
C00193,0,
C00194,0,
C00195,0,
C00196,0,
C00197,0,
C00198,0,
C00199,0,
C00200,0,
C00201,0,
C00202,1,invalid
C00203,0,
C00204,1,outlier
C00205,0,
C00206,0,
C00207,0,
C00208,0,
C00209,0,
C00210,0,
C00211,0,
C00212,1,inconsistent
C00213,0,
C00214,0,
C00215,1,invalid
C00216,0,
C00217,1,invalid
C00218,0,
C00219,0,
C00220,0,
C00221,0,
C00222,1,missing
C00223,0,
C00224,0,
C00225,0,
C00226,0,
C00227,0,
C00228,0,
C00229,0,
C00230,0,
C00231,0,
C00232,1,missing|outlier
C00233,0,
C00234,0,
C00235,0,
C00236,1,semantic
C00237,0,
C00238,0,
C00239,0,
C00240,0,
C00241,1,outlier
C00242,0,
C00243,0,
C00244,0,
C00245,0,
C00246,0,
C00247,0,
C00248,0,
C00249,0,
C00250,0,
C00251,0,
C00081,1,duplicate
C00253,0,
C00254,1,inconsistent|invalid
C00255,0,
C00256,0,
C00257,0,
C00258,0,
C00259,1,outlier
C00260,0,
C00261,0,
C00262,0,
C00263,0,
C00264,0,
C00265,0,
C00266,0,
C00267,0,
C00268,0,
C00269,0,
C00270,1,missing|outlier
C00271,0,
C00272,1,format
C00273,0,
C00274,0,
C00275,1,missing|wrong_type
C00276,0,
C00277,1,format|missing
C00278,0,
C00279,1,invalid
C00280,0,
C00281,0,
C00282,0,
C00283,1,format|outlier
C00284,0,
C00285,0,
C00286,0,
C00287,0,
C00288,1,duplicate
C00289,0,
C00290,0,
C00291,0,
C00292,0,
C00581,1,duplicate|outlier
C00294,0,
C00295,0,
C00296,1,inconsistent
C00297,0,
C00298,1,inconsistent
C00299,0,
C00300,0,
C00301,0,
C00302,0,
C00303,1,wrong_type
C00304,1,invalid
C00305,1,inconsistent
C00306,0,
C00307,0,
C00308,0,
C00309,0,
C00310,0,
C00311,0,
C00312,0,
C00313,1,inconsistent
C00314,1,missing
C00315,0,
C00316,1,outlier|wrong_type
C00317,0,
C00318,1,format
C00319,0,
C00320,0,
C00321,0,
C00322,1,inconsistent
C00323,0,
C00324,0,
C00325,1,missing
C00326,0,
C00327,0,
C00328,0,
C00329,0,
C00330,0,
C00331,0,
C00332,1,outlier|semantic|wrong_type
C00333,0,
C00334,0,
C00335,0,
C00336,0,
C00337,0,
C00338,0,
C00339,0,
C00340,0,
C00341,1,semantic|wrong_type
C00342,0,
C00343,0,
C00344,0,
C00345,0,
C00346,1,outlier|semantic
C00347,0,
C00348,1,inconsistent
C00349,0,
C00350,0,
C00351,0,
C00352,0,
C00353,0,
C00354,0,
C00355,1,wrong_type
C00356,0,
C00357,0,
C00358,0,
C00359,0,
C00360,0,
C00361,0,
C00362,0,
C00363,0,
C00364,0,
C00365,0,
C00366,0,
C00367,0,
C00368,0,
C00369,1,inconsistent
C00370,0,
C00371,0,
C00372,0,
C00373,0,
C00374,0,
C00375,0,
C00376,0,
C00377,0,
C00378,0,
C00379,1,format|invalid
C01812,1,duplicate
C00381,1,inconsistent|invalid|missing
C00382,1,missing
C00758,1,duplicate|missing|outlier
C00384,1,inconsistent|missing|outlier
C00385,1,semantic
C00386,0,
C00387,0,
C00388,0,
C00389,1,missing|wrong_type
C00390,0,
C00391,0,
C00392,0,
C00393,0,
C00394,0,
C00395,0,
C00396,0,
C00397,0,
C00398,1,wrong_type
C00399,0,
C00400,0,
C00401,0,
C00402,1,inconsistent
C00403,0,
C00404,1,inconsistent|outlier
C00405,1,semantic
C00406,0,
C00407,0,
C00408,0,
C00409,0,
C00410,0,
C00411,0,
C00412,1,semantic
